id;vader_neg;vader_neu;vader_pos;vader_compound;roberta_neg;roberta_neu;roberta_pos;review_id;review_title;review_date;review_rating;review_content;review_location;sentiment_roberta;sentiment_vader;sentiment_textblob;rating_sentiment
65aed6b600af4883acaf8caf;0.02;0.879;0.102;0.9091;0.04250581935048103;0.2603031098842621;0.697191059589386;65aed6b600af4883acaf8caf;TIG (WIG) welder, model S-WIGMA 200PDC;2024-01-22;5;I ordered a TIG (WIG) / MMA welder, model S-WIGMA 200PDC.1. Shipment to Austria was very quick, tracking and delivery by GLS perfect2. The Welding DeviceFirst welding tests with stick electrodes (MMA) were fine, ignition, arc stable.I measured the current with a Fluke clamp on meter and checked the deviation. At 100 and 110 Ampere the measured current was almost exactly the adjusted one.At lower current like 50 and 55 Ampere the measured current was slightly lower (~ 3 Amps).I think that's pretty good for such a nonprofessional device.No tests with TIG (WIG) welding so far, but planned for near future...3. Customer supportI had a few questions - prompt response, polite.But one thing I have to mention:An answer to a specific question was not correct:They said the plug has a 13 mm socket. After I received the device, I measured and it turned out it is a 9mm socket.Summary: a nice welder with advanced features and adjustments like pulse frequency, Hot start, Arc Force, etc. for a reasonable price.;AT;Positive;Positive;Positive;Positive
65a68b82126d92f1f9a4d330;0.0;0.552;0.448;0.9299;0.006275746505707502;0.030150048434734344;0.9635741710662842;65a68b82126d92f1f9a4d330;Awesome experience;2024-01-15;5;Awesome experience. We had to use their customer support to fix our invoice data and they provided outstanding timing and support!;BG;Positive;Positive;Positive;Positive
65a3c4680208eaa47b381c4d;0.0;0.571;0.429;0.9147;0.002630051225423813;0.015183301642537117;0.9821866750717163;65a3c4680208eaa47b381c4d;The product arrived on time all the…;2024-01-12;5;The product arrived on time all the assembly details were perfect made it very handy and clear great service well done;IE;Positive;Positive;Positive;Positive
659fcc8b2e14391e7d9d5597;0.0;0.586;0.414;0.8908;0.0014605516334995627;0.01525802817195654;0.9832814335823059;659fcc8b2e14391e7d9d5597;Good and fast delivery;2023-12-27;5;Good and fast delivery of this amazing standing desk system, it was quite fast at very good price.;CZ;Positive;Positive;Positive;Positive
659e780423cb48162da0eabb;0.39;0.53;0.08;-0.792;0.8335443139076233;0.15357357263565063;0.012882133014500141;659e780423cb48162da0eabb;Bad invoice cross-border purchase - no contact to solve;2023-12-26;1;Bad invoice - DPH on invoice - shipping to slovakia - no cantact on website to solve this problem;SK;Negative;Negative;Negative;Negative
65abc2180b73dff764578178;0.085;0.857;0.058;-0.6959;0.8997228145599365;0.09045745432376862;0.009819749742746353;65abc2180b73dff764578178;i ordered a beauty therapy trolley;2023-12-23;1;"i ordered a beauty therapy trolleyi ordered a beauty therapy trolley, item arrived in perished packaging, item was clearly used and returned, had rusty feet, broken castors, missing plastic trim, whole item was dirty and scratched, customer service said i had to source my own replacement packaging as original had perished. customer service offered me 20% discount or i could return the dirty, broken trolley, customer service sent me an evri label, had to try 4 shops before my parcel was accepted, drop off shops said parcel was too big for the type of return label issued ???still in the process of getting replacement item/refund. disgusting customer service experience, will not buy from then again, dr hasan emzi skin clinic manchester. undoubtedly there will be an expondo customer service response to this review claiming it is false and i have ""got things wrong"" do not trust them, order from expondo at your peril!update 9/1/24 - beacuse expondo used the cheapest return method possible, the return is still in transit ????? useless. i posted it on 23/12/23update 13/1/24expondo have still not received the return ???[from tracking page]It's bookedWe've got it15:47 - Sat Dec 23We've received your parcel at the ParcelShop and we'll be collecting it shortly13:26 - Wed Dec 27We've tried to collect this parcel but it's too large for this courier. Please contact the retailer to book with our Specialist Evri couriers13:36 - Fri Dec 29maybe they should sort out the returns methodexpondo refusing to refund or replaceas far as i am concerned this is thefti will report to trading standards and credit card company.disgusting company - avoid.Date of experience: 23 December 2023";GB;Negative;Negative;Negative;Negative
65830d582df3bc042399e13d;0.184;0.649;0.166;0.0772;0.002681872807443142;0.022263720631599426;0.9750544428825378;65830d582df3bc042399e13d;Super fast shopping;2023-12-20;5;Super fast shopping, I found my product quickly, no problems. all information I needed about technical parameters was available, so no need to get in touch with virtual assistant. I like this store.;PL;Positive;Positive;Positive;Positive
6582db9ab65fe5974bf373c3;0.0;0.83;0.17;0.5697;0.010712656192481518;0.08903378248214722;0.9002535939216614;6582db9ab65fe5974bf373c3;Fast service and good price-quality ratio.;2023-12-20;5;I had some specific questions about a product, which were promptly and adequately addressed. Additionally, the price-quality ratio is very favorable!;NL;Positive;Positive;Positive;Positive
656f73d9d4c5be75b05e05d8;0.061;0.578;0.361;0.8858;0.018862612545490265;0.09609514474868774;0.8850421905517578;656f73d9d4c5be75b05e05d8;Excellent company to deal with;2023-12-04;5;Excellent company to deal with. I was nervous because the item was very large. Excellent communication and trusted shipping company used to delivery. Very competitive prices;IE;Positive;Positive;Positive;Positive
65950136507439cdcbfaf53b;0.09;0.636;0.274;0.7684;0.05884884297847748;0.16526420414447784;0.7758870124816895;65950136507439cdcbfaf53b;I bought a product from Expondo;2023-12-01;4;I bought a product from Expondo, but it was not as described. I made a complain and they came with a solution that I am satisfied with. Thank you Expondo. Thumbs up ☺️;NO;Positive;Positive;Positive;Positive
656c8e019fb6285b8404c99b;0.064;0.899;0.037;-0.2481;0.6355054378509521;0.307437002658844;0.05705757066607475;656c8e019fb6285b8404c99b;ordered and recieved a honey extractor;2023-12-01;1;ordered and recieved a honey extractor, the central basket/drum had not been properly made and it is impossible to use, we then found that Expondo has no contact details online and no email, so it is impossible to contact them, or send images.It is the 3rd item we have bought, we will not buy another, it will be interesting to raise a small claims action.DONT buy from companies without contact details!;GB;Negative;Negative;Negative;Negative
6569f3461696b511eb400570;0.0;0.508;0.492;0.7003;0.007751579396426678;0.06675264984369278;0.9254958033561707;6569f3461696b511eb400570;all good;2023-11-30;5;all good, very good service, did multiply orders.;DE;Positive;Positive;Positive;Positive
656519d49f0e1aa309f0bde4;0.119;0.809;0.072;-0.5561;0.7564630508422852;0.21145690977573395;0.03208007663488388;656519d49f0e1aa309f0bde4;I bought a water distiller to be fair…;2023-11-24;1;I bought a water distiller to be fair item arrived on time no broken my problem was the instructions manual it was useless I had no clear pics or instructions on how to set up. Also the pump they provided did not come with Uk plug. They were quick to respond to my email but just sent a copy of the manuel that come with it so no good. I’m now in the process of returnin Item but not been easy they said to drop it at an automated post box thing. Qr code was not expected. I then rang helpline that machine provided I was told that the item is not supposed to be returned via machine. The courier they use is Hermes and apparently I can take the QR code provided into shop to be picked up. I just hope they will pay full refund without getting bank involved.;GB;Negative;Negative;Positive;Negative
656312df732fe33f1a684dab;0.352;0.415;0.233;-0.508;0.9687548279762268;0.026013381779193878;0.005231792572885752;656312df732fe33f1a684dab;Terrible service;2023-11-23;1;Terrible service, little professionalism, practically zero customer service. Terrible service, a huge joke!!;IT;Negative;Negative;Negative;Negative
655c9f3359537c12a5f6bbf7;0.0;0.69;0.31;0.4019;0.013017483055591583;0.1314649134874344;0.8555176258087158;655c9f3359537c12a5f6bbf7;The support service was first class excellent company;2023-11-21;5;The support service was first class. Exce;ES;Positive;Positive;Positive;Positive
6559dbbafd28fa24bc16befd;0.0;1.0;0.0;0.0;0.12444658577442169;0.7979688048362732;0.07758457213640213;6559dbbafd28fa24bc16befd;Reliable products;2023-11-17;4;Product as described;GR;Neutral;Neutral;Neutral;Positive
6559fea12c6fa03e0ffdb686;0.0;0.508;0.492;0.4404;0.005101167596876621;0.10550063103437424;0.8893981575965881;6559fea12c6fa03e0ffdb686;Fast;2023-11-16;5;Fast, accurate, good product;HU;Positive;Positive;Positive;Positive
6555f1cb97495601958a13fb;0.0;0.536;0.464;0.8313;0.002825572155416012;0.020831722766160965;0.9763427376747131;6555f1cb97495601958a13fb;Great service;2023-11-16;5;Great service, they are very kind and they answer very quick.;ES;Positive;Positive;Positive;Positive
6557c376c95e1deebf6611b0;0.0;0.0;0.0;0.0;0.25829431414604187;0.4512723982334137;0.2904333174228668;6557c376c95e1deebf6611b0;fast delivery and great service;2023-11-16;5;;GB;Neutral;Neutral;Neutral;Positive
65566b9fe70fa4225afdadc2;0.0;0.345;0.655;0.6908;0.04419221356511116;0.3983016014099121;0.5575061440467834;65566b9fe70fa4225afdadc2;Value for money;2023-11-15;5;Value for money.  Free delivery;IE;Positive;Positive;Positive;Positive
6554e6613b86e340bb2184b1;0.0;0.0;0.0;0.0;0.25829431414604187;0.4512723982334137;0.2904333174228668;6554e6613b86e340bb2184b1;impeccable;2023-11-14;5;;CH;Neutral;Neutral;Neutral;Positive
654f42d74c7a0158825c7c83;0.0;0.341;0.659;0.8648;0.0017384056700393558;0.010482043959200382;0.9877795577049255;654f42d74c7a0158825c7c83;Very good excellent quick delivery 🚚😁…;2023-11-11;5;Very good excellent quick delivery 🚚😁 thank you;IE;Positive;Positive;Positive;Positive
6555b9c001457a8a4311f024;0.0;0.256;0.744;0.7003;0.0023015071637928486;0.06667540222406387;0.9310230612754822;6555b9c001457a8a4311f024;All good ..;2023-11-10;5;All good ... Thanks;GB;Positive;Positive;Positive;Positive
6549578a7fa4b5595f1a694b;0.0;0.0;0.0;0.0;0.25829431414604187;0.4512723982334137;0.2904333174228668;6549578a7fa4b5595f1a694b;Delivery bad!;2023-11-06;1;;AT;Neutral;Neutral;Neutral;Negative
654b62a16991c733242c0631;0.0;0.807;0.193;0.4767;0.05098298192024231;0.579287588596344;0.3697294294834137;654b62a16991c733242c0631;Quality cooking supplies can be…;2023-11-06;5;Quality cooking supplies can be purchased here. However. The shipment speed should be improved.;NL;Neutral;Positive;Neutral;Positive
65532f82a219859d600daf37;0.0;0.952;0.048;0.3291;0.19042474031448364;0.3590497374534607;0.45052555203437805;65532f82a219859d600daf37;Released by customs not got any further;2023-11-04;3;Edit: Product finally came after contacting the through Facebook. Happy with what we finally received, but probably won’t use these again due to shipping problems.The product I ordered was released by customs since 8/11/2023 but hasn’t got any further, can’t find anywhere to contact company to chase it up;GB;Positive;Positive;Positive;Neutral
6546ab203b4e9ca546b4746d;0.0;0.583;0.417;0.6124;0.002923719584941864;0.04526737704873085;0.9518089294433594;6546ab203b4e9ca546b4746d;welding mashine;2023-11-04;5;Thank you, I received the welding machine.I recommend the company.;IE;Positive;Positive;Neutral;Positive
653ab154532aa794360b78f7;0.0;0.0;0.0;0.0;0.25829431414604187;0.4512723982334137;0.2904333174228668;653ab154532aa794360b78f7;Great product and delivered as promised;2023-10-26;5;;GB;Neutral;Neutral;Neutral;Positive
6538cba967487260dd1916db;0.026;0.944;0.03;0.0644;0.8451529741287231;0.14304551482200623;0.011801512911915779;6538cba967487260dd1916db;Can anyone find a customer service…;2023-10-25;1;Can anyone find a customer service contact number.not clear on website . I have purchased an item which I didn't know needed shipping and now it's hold at FedEx with shipping and holding charges. It's now been two weeks and nothing from the company. Once I receive this item I'll review again I've tried Facebook and Instagram but not got back to me.;GB;Negative;Positive;Positive;Negative
653887e64a3807cb02531bb6;0.0;0.645;0.355;0.8271;0.0018226136453449726;0.02253793366253376;0.9756395220756531;653887e64a3807cb02531bb6;Great company to deal with and the pump…;2023-10-25;5;Great company to deal with and the pump I bought is fantastic pump for house in Africa;GB;Positive;Positive;Positive;Positive
653e58889557a2d6bc874db1;0.139;0.781;0.08;-0.3612;0.49467402696609497;0.3625021278858185;0.14282384514808655;653e58889557a2d6bc874db1;I ordered an item but the shipping…;2023-10-25;5;I ordered an item but the shipping company was awful.However, I emailed expondo.com, and the problem was resolved overnight. Will order again from Expondo;RO;Negative;Negative;Neutral;Positive
653d51baab51b38e51604008;0.0;0.0;0.0;0.0;0.25829431414604187;0.4512723982334137;0.2904333174228668;653d51baab51b38e51604008;Good product and very good service;2023-10-24;5;;GB;Neutral;Neutral;Neutral;Positive
6538024e5a9c2f97df2ddf72;0.0;0.811;0.189;0.6369;0.003530277404934168;0.08780384808778763;0.9086658954620361;6538024e5a9c2f97df2ddf72;the balance is perfectly accurate.;2023-10-23;5;After the callibration, the balance is perfectly accurate.I believe it will stay so accurate for a longer period of time.;HR;Positive;Positive;Positive;Positive
653f9b34cd60ce15187515c7;0.0;0.747;0.253;0.7264;0.007650969084352255;0.053435422480106354;0.9389135837554932;653f9b34cd60ce15187515c7;Very good quality- price ratio;2023-10-19;5;Product on web-site looks exactly the same as is delivered. Very good quality- price ratio. Quick delivery, easy to assemble;CH;Positive;Positive;Positive;Positive
652e2ffe45bd43942f08af3b;0.0;0.0;0.0;0.0;0.25829431414604187;0.4512723982334137;0.2904333174228668;652e2ffe45bd43942f08af3b;Great!Thank your very much!;2023-10-17;5;;IE;Neutral;Neutral;Neutral;Positive
652e99faede3c53f556a3588;0.0;1.0;0.0;0.0;0.004705399740487337;0.1372125893831253;0.8580819964408875;652e99faede3c53f556a3588;Quick and accurate delivery;2023-10-16;5;Quick and accurate delivery. Reasonable price;GB;Positive;Neutral;Positive;Positive
652ac5dd69c58718a0690202;0.071;0.912;0.017;-0.807;0.9089943766593933;0.08076600730419159;0.010239599272608757;652ac5dd69c58718a0690202;Pot ordered, returned and still no refund 7 weeks later;2023-10-14;1;"I paid for this product on the 9th of August. The pot was delivered to me on the 22nd of August and I effected a return on the same day. This was due to the website indicating that the product would have been delivered between 1-3 days. I received it over 2 weeks later. I didn't need the pot by then, as I had needed it for the 11th of August.I queried my refund several times since then to receive feedback stating ""we will continue to monitor this return and can refund you as soon as I get confirmation from our UK return centre. Rest assured, we are checking daily for the status of the parcel"" - seriously? I am extremely disappointed as it is now over 7 weeks later, and I have still not received a refund. I have contacted them again yesterday and I still have not had a response.This is unacceptable. Their customer service is shocking.";GB;Negative;Negative;Negative;Negative
6528467ca8782e36a9ef2239;0.0;0.0;0.0;0.0;0.25829431414604187;0.4512723982334137;0.2904333174228668;6528467ca8782e36a9ef2239;Fast delivery/good value for money;2023-10-10;5;;RO;Neutral;Neutral;Neutral;Positive
652541321855e31952a33738;0.104;0.896;0.0;-0.802;0.962410569190979;0.03362841531634331;0.003961039241403341;652541321855e31952a33738;I bought Iduction Cooker for £179…;2023-10-04;1;We have returned the product to them on 12 October and they are not refunding the money, this confirms that these people are scammers. DO NOT BUY FROM THIS WEBSITE.I bought Iduction Cooker for £179 (INV500141188).Item delivered is faulty and I'm unable to contact the seller, there are no telephone or email address provided in the invoice or website.This company is a scam. I will now contact my bank to get my money returned to me.;GB;Negative;Negative;Negative;Negative
651ee50f5ae03db6af4d9088;0.077;0.761;0.163;0.8405;0.007858779281377792;0.05252561718225479;0.9396156072616577;651ee50f5ae03db6af4d9088;reliable company and nice product (greenhouse);2023-10-04;5;Purchase proces 'mothers milk' pleasant and easy at the same time.I bought the greenhouse.Product in general is OK.We set it on the concrete foundation so it stand very solid. Great thinks are the gutters on both side so water is kept away.One concern are quite fast rusting screws and not fully closed roof windowall in all product looks promising :)Service of Expondo is fast and reliable, after rising concern about some spare parts we get it with no problem;PL;Positive;Positive;Positive;Positive
651ee50f5ae03db6af4d9088;0.077;0.761;0.163;0.8405;0.007858779281377792;0.05252561718225479;0.9396156072616577;651ee50f5ae03db6af4d9088;reliable company and nice product (greenhouse);2023-10-04;5;Purchase proces 'mothers milk' pleasant and easy at the same time.I bought the greenhouse.Product in general is OK.We set it on the concrete foundation so it stand very solid. Great thinks are the gutters on both side so water is kept away.One concern are quite fast rusting screws and not fully closed roof windowall in all product looks promising :)Service of Expondo is fast and reliable, after rising concern about some spare parts we get it with no problem;PL;Positive;Positive;Positive;Positive
651d21da886ec81436b7d836;0.0;0.539;0.461;0.7717;0.004987534135580063;0.047886401414871216;0.947126030921936;651d21da886ec81436b7d836;Great service and urgent feedback from…;2023-10-04;5;Great service and urgent feedback from company. Reliable and swift to response;SE;Positive;Positive;Positive;Positive
651c6d0bd04e9c105d755081;0.0;0.433;0.567;0.9201;0.0020752805285155773;0.01066544558852911;0.9872593283653259;651c6d0bd04e9c105d755081;Brilliant experience;2023-10-03;5;Great experience and production communication was amazing though out the process would definitely recommend.;GB;Positive;Positive;Positive;Positive
65196a72ca5f20e8e7785529;0.163;0.555;0.281;0.4927;0.031484682112932205;0.3896424174308777;0.5788729190826416;65196a72ca5f20e8e7785529;Offroad winch;2023-10-01;5;Little complaints, due to unclear Installation Guide, all have been dealt with swiftly and effectively by Expondo. Recommend the Compny.;DE;Positive;Positive;Positive;Positive
6516a460c86310a3c68f7a38;0.0;0.584;0.416;0.6908;0.0037135095335543156;0.07302207499742508;0.9232644438743591;6516a460c86310a3c68f7a38;Ease of Use;2023-09-29;5;Nice and easy to follow and quick to fill in;GB;Positive;Positive;Positive;Positive
6517ee277e96d0f9013c5714;0.058;0.748;0.195;0.7343;0.008522633463144302;0.07180771231651306;0.9196696877479553;6517ee277e96d0f9013c5714;Steel posts and straps;2023-09-28;5;Ordered some stainless steelposts and straps for a new art gallery. Top notch quality product , superbly packed, swiftly delivered. I thought great value for the product quality. Could do with a little more communication - delivery turned up and it was only by chance that I was there. But bar that tiny criticism (easy to address) very good company to deal with.;GB;Positive;Positive;Positive;Positive
6517ee277e96d0f9013c5714;0.058;0.748;0.195;0.7343;0.008522633463144302;0.07180771231651306;0.9196696877479553;6517ee277e96d0f9013c5714;Steel posts and straps;2023-09-28;5;Ordered some stainless steelposts and straps for a new art gallery. Top notch quality product , superbly packed, swiftly delivered. I thought great value for the product quality. Could do with a little more communication - delivery turned up and it was only by chance that I was there. But bar that tiny criticism (easy to address) very good company to deal with.;GB;Positive;Positive;Positive;Positive
652311a3869431546e87775e;0.0;0.831;0.169;0.9197;0.009392625652253628;0.05859456956386566;0.9320127964019775;652311a3869431546e87775e;Laboratory power supply S-LS-117;2023-09-28;5;I haven't had time to deal with the power supply yet due to other work. I did some tests and the voltage on this power supply seems pretty accurate, the current limit does its job. Parallel and serial mode work fine. This equipment has USB, serial and RJ45 connectors. The included CD contains drivers and programming software.The price of the device was very friendly. Shipping was very fast.So I like this device. I am satisfied with the purchase.;HU;Positive;Positive;Positive;Positive
652311a3869431546e87775e;0.0;0.831;0.169;0.9197;0.009392625652253628;0.05859456956386566;0.9320127964019775;652311a3869431546e87775e;Laboratory power supply S-LS-117;2023-09-28;5;I haven't had time to deal with the power supply yet due to other work. I did some tests and the voltage on this power supply seems pretty accurate, the current limit does its job. Parallel and serial mode work fine. This equipment has USB, serial and RJ45 connectors. The included CD contains drivers and programming software.The price of the device was very friendly. Shipping was very fast.So I like this device. I am satisfied with the purchase.;HU;Positive;Positive;Positive;Positive
6512e401d404ddce12c8f9c4;0.101;0.661;0.238;0.4753;0.008618791587650776;0.057421158999204636;0.9339600801467896;6512e401d404ddce12c8f9c4;Impressive;2023-09-26;5;Surprisingly had a decent experience after receiving faulty goods. Refunded, return arranged and gesture of goodwill too. Thanks Expondo!;IE;Positive;Positive;Positive;Positive
6514925842d6b202c17bb90c;0.0;0.299;0.701;0.8555;0.0034654568880796432;0.035142503678798676;0.9613920450210571;6514925842d6b202c17bb90c;Great value;2023-09-26;5;Great value, good quality, very promptly delivered.;GB;Positive;Positive;Positive;Positive
651195928a1da539cd7da187;0.0;0.674;0.326;0.4404;0.00839127879589796;0.1240338459610939;0.8675748109817505;651195928a1da539cd7da187;Good quality product;2023-09-25;5;Good quality product, service and product packaging;GB;Positive;Positive;Positive;Positive
